Name,Speed,Modules,Price / GB,DDR,Price
Corsair Vengeance 64 GB,5600,2 x 32GB,2.812,DDR5,179.99
Corsair Vengeance 64 GB,6600,2 x 32GB,3.695,DDR5,236.45
Corsair Vengeance 64 GB,6000,2 x 32GB,3.281,DDR5,209.99
G.Skill Trident Z5 RGB 64 GB,6800,2 x 32GB,4.219,DDR5,269.99
G.Skill Ripjaws S5 64 GB,5600,2 x 32GB,2.812,DDR5,179.99
TEAMGROUP T-Force Delta RGB 64 GB,6000,2 x 32GB,2.734,DDR5,174.99
Corsair Dominator Platinum RGB 64 GB,5600,2 x 32GB,3.531,DDR5,225.99
G.Skill Trident Z5 RGB 64 GB,6400,2 x 32GB,3.359,DDR5,214.99
TEAMGROUP T-Create Expert 64 GB,6000,2 x 32GB,2.734,DDR5,174.99
Corsair Vengeance RGB 64 GB,6000,2 x 32GB,3.281,DDR5,209.99
Corsair Vengeance RGB 64 GB,6600,2 x 32GB,3.859,DDR5,246.95
Corsair Dominator Titanium 64 GB,6600,2 x 32GB,5.078,DDR5,324.99
G.Skill Trident Z5 RGB 64 GB,6400,2 x 32GB,3.359,DDR5,214.99
G.Skill Ripjaws S5 64 GB,6400,2 x 32GB,3.125,DDR5,199.99
Kingston FURY Beast RGB 64 GB,6000,2 x 32GB,3.714,DDR5,237.68
Corsair Vengeance RGB 64 GB,6000,2 x 32GB,3.359,DDR5,214.99
Corsair Dominator Titanium 64 GB,6600,2 x 32GB,5.078,DDR5,324.99
Corsair Dominator Platinum RGB 64 GB,6000,2 x 32GB,3.906,DDR5,249.99
G.Skill Trident Z5 RGB 64 GB,6000,2 x 32GB,3.406,DDR5,217.99
G.Skill Ripjaws S5 64 GB,6800,2 x 32GB,3.906,DDR5,249.99
Crucial CT2K32G48C40U5 64 GB,4800,2 x 32GB,2.375,DDR5,151.99
Corsair Vengeance RGB 64 GB,6000,2 x 32GB,3.672,DDR5,234.99
Corsair Vengeance RGB 64 GB,6400,2 x 32GB,3.437,DDR5,219.99
G.Skill Ripjaws S5 64 GB,6000,2 x 32GB,2.812,DDR5,179.99
Corsair Dominator Titanium First Edition 64 GB,6600,2 x 32GB,5.625,DDR5,359.99
TEAMGROUP T-Force Delta RGB 64 GB,6000,2 x 32GB,2.734,DDR5,174.99
Kingston FURY Beast 64 GB,6000,2 x 32GB,3.594,DDR5,229.99
Corsair Vengeance 64 GB,6000,2 x 32GB,3.281,DDR5,209.99
G.Skill Trident Z5 RGB 64 GB,6000,2 x 32GB,3.406,DDR5,217.99
Corsair Dominator Titanium 64 GB,6000,2 x 32GB,4.609,DDR5,294.99
G.Skill Trident Z5 RGB 64 GB,5600,2 x 32GB,3.281,DDR5,209.99
G.Skill Trident Z5 RGB 64 GB,6000,2 x 32GB,3.047,DDR5,194.99
TEAMGROUP T-Create Expert 64 GB,6400,2 x 32GB,2.969,DDR5,189.99
Corsair Dominator Platinum RGB 64 GB,6000,2 x 32GB,4.375,DDR5,279.99
Corsair Vengeance 64 GB,6000,2 x 32GB,2.969,DDR5,189.99
Corsair Vengeance 64 GB,5200,2 x 32GB,2.734,DDR5,174.99
G.Skill Flare X5 64 GB,5600,2 x 32GB,2.640,DDR5,168.95
TEAMGROUP T-Force Vulcan 64 GB,5200,2 x 32GB,2.344,DDR5,149.99
Kingston FURY Beast 64 GB,5600,2 x 32GB,3.246,DDR5,207.77
Corsair Vengeance RGB 64 GB,6000,2 x 32GB,3.047,DDR5,194.99
Corsair Vengeance 64 GB,6000,2 x 32GB,3.594,DDR5,229.99
Corsair Vengeance 64 GB,6000,2 x 32GB,3.203,DDR5,204.99
G.Skill Trident Z5 RGB 64 GB,6000,2 x 32GB,3.281,DDR5,209.99
Corsair Dominator Platinum RGB 64 GB,5200,2 x 32GB,3.594,DDR5,229.99
G.Skill Ripjaws S5 64 GB,5600,2 x 32GB,2.859,DDR5,182.99
Corsair Dominator Titanium 64 GB,6000,2 x 32GB,4.609,DDR5,294.99
Corsair Dominator Platinum RGB 64 GB,5200,2 x 32GB,3.125,DDR5,199.99
G.Skill F5-5600J2834F32GX2-TZ5RK 64 GB,5600,2 x 32GB,3.125,DDR5,199.99
TEAMGROUP T-Create Expert 64 GB,6400,2 x 32GB,2.969,DDR5,189.99
TEAMGROUP T-Create Classic 64 GB,5600,2 x 32GB,2.422,DDR5,154.99
Corsair Dominator Titanium 64 GB,6400,2 x 32GB,5.000,DDR5,319.99
Corsair Dominator Titanium 64 GB,6000,2 x 32GB,4.609,DDR5,294.99
TEAMGROUP T-Create Classic 64 GB,6000,2 x 32GB,2.656,DDR5,169.99
G.Skill Trident Z5 Neo RGB 64 GB,6000,2 x 32GB,3.250,DDR5,207.99
G.Skill Trident Z5 RGB 64 GB,6000,2 x 32GB,3.047,DDR5,194.99
Corsair Vengeance RGB 64 GB,5600,2 x 32GB,3.125,DDR5,199.99
Corsair Dominator Platinum RGB 64 GB,6000,2 x 32GB,4.217,DDR5,269.88
Corsair Vengeance RGB 64 GB,6000,2 x 32GB,3.312,DDR5,211.99
TEAMGROUP T-Create Expert 64 GB,6000,2 x 32GB,2.734,DDR5,174.99
G.Skill Ripjaws S5 64 GB,6000,2 x 32GB,2.969,DDR5,189.99
TEAMGROUP T-Force Vulcan 64 GB,6000,2 x 32GB,2.656,DDR5,169.99
Kingston FURY Beast RGB 64 GB,5600,2 x 32GB,3.515,DDR5,224.99
OLOy Blade RGB 64 GB,6400,2 x 32GB,3.281,DDR5,209.99
Corsair Vengeance 64 GB,5600,2 x 32GB,2.812,DDR5,179.99
Corsair Vengeance 32 GB,5600,2 x 16GB,3.125,DDR5,99.99
G.Skill Trident Z5 RGB 32 GB,6000,2 x 16GB,3.437,DDR5,109.99
Corsair Vengeance RGB 32 GB,6000,2 x 16GB,3.731,DDR5,119.39
Corsair Vengeance RGB 32 GB,6000,2 x 16GB,3.437,DDR5,109.99
G.Skill Ripjaws S5 32 GB,6000,2 x 16GB,3.281,DDR5,104.99
G.Skill Flare X5 32 GB,6000,2 x 16GB,2.936,DDR5,93.95
TEAMGROUP T-Force Delta RGB 32 GB,6000,2 x 16GB,3.281,DDR5,104.99
G.Skill Trident Z5 Neo RGB 32 GB,6000,2 x 16GB,3.687,DDR5,117.99
G.Skill Flare X5 32 GB,6000,2 x 16GB,3.125,DDR5,99.99
TEAMGROUP T-Force Delta RGB 32 GB,6000,2 x 16GB,3.125,DDR5,99.99
Corsair Vengeance 32 GB,6000,2 x 16GB,3.437,DDR5,109.99
G.Skill Trident Z5 RGB 32 GB,6400,2 x 16GB,3.750,DDR5,119.99
G.Skill Ripjaws S5 32 GB,6000,2 x 16GB,2.656,DDR5,84.99
Corsair Vengeance RGB 32 GB,6000,2 x 16GB,3.281,DDR5,104.99
G.Skill Trident Z5 RGB 32 GB,7200,2 x 16GB,4.375,DDR5,139.99
Crucial Pro 32 GB,5600,2 x 16GB,2.374,DDR5,75.98
Corsair Dominator Platinum RGB 32 GB,6200,2 x 16GB,5.156,DDR5,164.99
G.Skill Ripjaws S5 32 GB,5600,2 x 16GB,3.125,DDR5,99.99
